# id | kind | tier | name | summary
labeled-data-scarcity | concept | major | Scarcity of Labelled Data | The problem the paper starts from: raw text is abundant, but human-annotated data for any one task is small and expensive.
generative-vs-discriminative-training | concept | minor | Generative vs Discriminative Training (part of labeled-data-scarcity) | Two ways of framing what a model predicts: the data itself, or a label given the data.
natural-language-understanding | concept | minor | Natural Language Understanding | The umbrella label the paper uses for a set of diverse supervised text tasks, each with its own dataset and its own notion of a correct answer.
semi-supervised-learning-for-nlp | concept | major | Semi-Supervised Learning for NLP | The family of methods that combine a large unlabelled corpus with a small labelled dataset, which the paper places itself inside.
word-embedding-transfer | concept | minor | Pre-Trained Word Embedding Transfer (part of semi-supervised-learning-for-nlp) | Training one vector per word on unlabelled text, then reusing that table inside a supervised model for a different task.
phrase-and-sentence-embeddings | concept | minor | Phrase- and Sentence-Level Embeddings (part of semi-supervised-learning-for-nlp) | Methods that learn one vector for a whole phrase or sentence from unlabelled text, then use it as a feature for the target task.
unsupervised-pretraining | concept | minor | Unsupervised Pre-Training as a Category (part of semi-supervised-learning-for-nlp) | The branch of semi-supervised learning where unlabelled data chooses a starting point for the weights instead of changing the supervised objective.
pretraining-as-regularization | concept | minor | Pre-Training as a Regularization Scheme (part of unsupervised-pretraining) | The cited finding that pre-training helps not only by easing optimization but by landing the network somewhere that generalizes better.
auxiliary-training-objectives | concept | minor | Auxiliary Training Objectives (part of semi-supervised-learning-for-nlp) | The other branch: add a second unsupervised loss term alongside the supervised loss, so the model keeps learning from raw text while it learns the tas
feature-based-transfer | concept | minor | Feature-Based Transfer (part of unsupervised-pretraining) | The competing transfer style: freeze a pre-trained language or translation model and feed its hidden states into a separate task model as extra input 
elmo-deep-contextualized-word-representations | concept | minor | Deep Contextualized Word Representations (ELMo) (part of feature-based-transfer) | The best-known feature-based approach: hidden states from a pre-trained bidirectional language model, added as features to a task model.
per-task-parameter-cost | concept | minor | Per-Task Parameter Cost (part of feature-based-transfer) | The quantity the paper uses to separate its approach from feature-based transfer: how many freshly initialized parameters each new task needs.
lm-pretraining-then-finetuning-predecessors | concept | minor | Language-Model Pre-Training Then Fine-Tuning (part of unsupervised-pretraining) | The line of work the paper calls closest to its own: pre-train with a language modelling objective, then fine-tune the whole network on a supervised t
semi-supervised-sequence-learning | concept | minor | Semi-Supervised Sequence Learning (part of lm-pretraining-then-finetuning-predecessors) | Earlier work that pre-trained a recurrent network with a language modelling or autoencoding objective and fine-tuned it for text classification.
ulmfit | concept | minor | Universal Language Model Fine-Tuning (part of lm-pretraining-then-finetuning-predecessors) | A contemporaneous method that fine-tunes a pre-trained LSTM language model for text classification using a carefully staged schedule.
lstm-short-range-limitation | concept | minor | Short-Range Limitation of LSTM Pre-Training (part of lm-pretraining-then-finetuning-predecessors) | The paper's argument that recurrent pre-trained models keep their predictions local, capping how much structure they transfer.
choice-of-pretraining-objective | concept | minor | Which Pre-Training Objective to Use | The first open question the introduction identifies: nobody knows which unsupervised objective yields text representations that transfer best.
how-to-transfer-representations | concept | minor | How to Transfer Learned Representations | The second open question: given a pre-trained representation, there was no consensus on how best to move it into a target task.
two-stage-training-procedure | concept | major | Two-Stage Training Procedure | The paper's recipe: learn the network's initial parameters with a language modelling objective on unlabelled text, then adapt those same parameters to
transfer-learning | concept | minor | Transfer Learning Here (part of two-stage-training-procedure) | Reusing parameters learned on one task as the starting point for another. Here the pre-trained language model's weights initialize every target task.
domain-mismatch-tolerance | concept | minor | No Domain Match Required (part of two-stage-training-procedure) | The stated assumption that the unlabelled pre-training corpus need not come from the same domain as the target tasks.
generative-pretraining | concept | major | Generative Pre-Training (Stage One) (part of two-stage-training-procedure) | Train a multi-layer transformer decoder to predict each next token on a large unlabelled corpus, and keep the weights rather than the outputs.
language-modeling-objective | concept | major | Language Modelling Objective $L_1$ (part of generative-pretraining) | The pre-training loss $L_1(U)=\sum_i \log P(u_i \mid u_{i-k},\dots,u_{i-1};\Theta)$: maximize the log-probability the model gives each token given the
maximum-likelihood-training | concept | minor floor | Maximum-Likelihood Training (part of language-modeling-objective) | Fitting parameters by maximizing the log-probability the model assigns to the observed data. Assumed known.
world-knowledge | concept | minor | World Knowledge from Pre-Training (part of generative-pretraining) | The conclusion's claim that predicting text over a large corpus leaves the model with facts and expectations about the world.
multi-layer-transformer-decoder | concept | major | Multi-Layer Transformer Decoder (part of generative-pretraining) | The language model is a stack of transformer blocks used as a decoder only: masked multi-head self-attention over the context, then position-wise feed
transformer-gpt1 | concept | minor floor | Transformer Architecture | The stacked self-attention and feed-forward architecture this paper builds on. Assumed known.
decoder-only-stack | concept | major | Decoder-Only Stack (part of multi-layer-transformer-decoder) | The model drops the encoder half of the original encoder-decoder transformer and keeps one stack that attends only to its own past tokens.
masked-self-attention | concept | major | Masked Self-Attention (part of multi-layer-transformer-decoder) | Self-attention restricted so each position attends only to itself and earlier positions, never to later ones.
input-representation-h0 | concept | minor | Input Representation $h_0$ (part of multi-layer-transformer-decoder) | The layer-zero input is the token embeddings of the context plus the position embeddings: $h_0 = UW_e + W_p$.
token-embedding-matrix | concept | minor | Token Embedding Matrix $W_e$ (part of multi-layer-transformer-decoder) | $W_e$ maps each vocabulary token to a dense vector, and its transpose is reused at the output to score candidate next tokens.
learned-position-embeddings | concept | minor | Learned Position Embeddings (part of multi-layer-transformer-decoder) | Position information comes from a trained matrix $W_p$, one vector per slot, rather than from the fixed sinusoids of the original transformer.
output-softmax-tied-embeddings | concept | minor | Output Distribution $P(u) = \mathrm{softmax}(h_n W_e^T)$ (part of multi-layer-transformer-decoder) | The top block's states are multiplied by the transpose of the token embedding matrix and softmaxed to give a distribution over the vocabulary.
long-range-dependencies-gpt1 | concept | minor | Long-Range Dependencies in Text | Relationships spanning many tokens, such as a pronoun and an antecedent several sentences back, or an exam question and the passage detail that answer
supervised-fine-tuning | concept | major | Supervised Fine-Tuning (Stage Two) (part of two-stage-training-procedure) | Run labelled inputs through the pre-trained model, take the final block's activation at the last token, and train a linear layer on it to predict the 
labeled-dataset-c | concept | minor | Labelled Dataset $C$ (part of supervised-fine-tuning) | $C$ denotes a target task's labelled data: input token sequences each paired with one label.
final-token-activation | concept | minor | Final Block Activation $h_l^m$ (part of supervised-fine-tuning) | The representation fed to the classifier is the final transformer block's output at the last input token.
linear-output-layer-wy | concept | minor | Added Linear Output Layer $W_y$ (part of supervised-fine-tuning) | The one parameter matrix added on top of the pre-trained model, mapping the final activation to label scores.
supervised-objective-l2 | concept | minor | Supervised Objective $L_2$ (part of supervised-fine-tuning) | $L_2(C) = \sum_{(x,y)} \log P(y \mid x_1,\dots,x_m)$: the summed log-probability of the correct labels over the labelled data.
auxiliary-lm-objective | concept | major | Auxiliary Language Modelling Objective (part of supervised-fine-tuning) | During fine-tuning the paper keeps optimizing the language modelling loss alongside the task loss: $L_3(C) = L_2(C) + \lambda\, L_1(C)$.
auxiliary-objective-weight | concept | minor | Auxiliary Objective Weight $\lambda = 0.5$ (part of auxiliary-lm-objective) | $\lambda$ scales the auxiliary language modelling term against the classification term. The paper sets it to 0.5.
minimal-extra-parameters | concept | minor | Minimal Extra Fine-Tuning Parameters (part of supervised-fine-tuning) | Adapting to a new task adds only the linear layer $W_y$ and embeddings for the delimiter tokens.
task-specific-input-transformations | concept | major | Task-Specific Input Transformations (part of two-stage-training-procedure) | Structured task inputs are rewritten as one ordered token sequence, so the pre-trained model can read them without architectural change.
structured-inputs | concept | minor | Structured Inputs (part of task-specific-input-transformations) | Task inputs made of several distinct parts — ordered sentence pairs, or document/question/answer triplets — rather than one run of text.
traversal-style-approach | concept | minor | Traversal-Style Approach (part of task-specific-input-transformations) | The strategy of walking the parts of a structured input into one ordered sequence, instead of building an architecture that mirrors the structure.
start-and-end-tokens | concept | minor | Start and End Tokens $\langle s\rangle$, $\langle e\rangle$ (part of task-specific-input-transformations) | Every transformed input is bracketed by a randomly initialized start token and end token.
delimiter-token | concept | minor | Delimiter Token ($) (part of task-specific-input-transformations) | A special `$` symbol inserted between the parts of a transformed input to mark where one part ends and the next begins.
entailment-input-transformation | concept | minor | Entailment Input Transformation (part of task-specific-input-transformations) | The premise and hypothesis token sequences are concatenated with a delimiter between them.
similarity-input-transformation | concept | minor | Similarity Input Transformation (part of task-specific-input-transformations) | Both sentence orderings are built and processed separately, and their two final activations are added element-wise before the linear output layer.
qa-and-commonsense-input-transformation | concept | minor | Question Answering and Commonsense Transformation (part of task-specific-input-transformations) | Each candidate answer is concatenated onto the document and question to form its own sequence, and the resulting scores are normalized across candidat
task-agnostic-model | concept | major | Task-Agnostic Model | A single architecture, pre-trained once, applied to every task without being redesigned for any of them.
task-specific-architectures | concept | minor | Task-Specific Architectures (part of task-agnostic-model) | The prevailing alternative: networks designed by hand around one task's structure, often stacked on top of transferred representations.
bookscorpus | concept | major | BooksCorpus (part of generative-pretraining) | The pre-training corpus: over 7,000 unpublished books across genres. Its selling point in this paper is long stretches of contiguous text.
long-range-contiguous-text | concept | minor | Long-Range Contiguous Text (part of bookscorpus) | Text kept in its original order across sentences and paragraphs, so a context window can span far more than one sentence.
one-billion-word-benchmark | concept | minor | 1B Word Benchmark (part of bookscorpus) | An alternative pre-training corpus of roughly the same size as BooksCorpus, but shuffled at the sentence level. The paper names it as the corpus ELMo 
token-level-perplexity | concept | minor | Token-Level Perplexity of 18.4 (part of bookscorpus) | The paper reports its language model reaching a token-level perplexity of 18.4 on BooksCorpus, offered as evidence pre-training fit the corpus.
model-specification | concept | major | Model Specification (part of multi-layer-transformer-decoder) | The exact architecture trained: a 12-layer decoder-only transformer with 768-dimensional states, 12 attention heads and 3072-dimensional inner feed-fo
twelve-layer-depth | concept | minor | 12 Layers (part of model-specification) | The stack is twelve decoder blocks deep, and the analysis section treats that depth as a dial the transfer experiments turn.
hidden-state-dimension-768 | concept | minor | 768-Dimensional States (part of model-specification) | Each token is represented by a 768-dimensional vector at every layer of the stack.
twelve-attention-heads | concept | minor | 12 Attention Heads (part of model-specification) | Each layer's self-attention is split into twelve parallel heads, each attending in a 64-dimensional subspace.
position-wise-feedforward-3072 | concept | minor | 3072-Dimensional Inner Feed-Forward States (part of model-specification) | The feed-forward sublayer in each block expands from 768 to 3072 dimensions and projects back down.
gelu | concept | minor | Gaussian Error Linear Unit (GELU) (part of model-specification) | The activation function used in place of ReLU. It gates each input by the probability that a standard normal draw falls below it.
layer-normalization-gpt1 | concept | minor floor | Layer Normalization (part of model-specification) | Per-position normalization of activations to zero mean and unit variance, with learned gain and bias. Used throughout the stack.
weight-initialization | concept | minor | $\mathcal{N}(0, 0.02)$ Weight Initialization (part of model-specification) | All weights are drawn from a normal distribution with standard deviation 0.02, which the paper says was sufficient because layernorm is used throughou
pre-training-optimization | concept | major | Pre-Training Optimization Setup (part of generative-pretraining) | How the language model was actually trained: Adam, a warmup-then-cosine schedule peaking at 2.5e-4, and 100 epochs of 64-sequence minibatches.
adam-optimizer-gpt1 | concept | minor | Adam Optimizer (part of pre-training-optimization) | The adaptive gradient method used for pre-training, with a maximum learning rate of 2.5e-4.
linear-warmup | concept | minor | Linear Warmup Over 2000 Updates (part of pre-training-optimization) | The learning rate is raised linearly from zero to 2.5e-4 across the first 2000 updates instead of starting at full size.
cosine-annealing | concept | minor | Cosine Learning Rate Annealing (part of pre-training-optimization) | After warmup, the learning rate follows a cosine curve from 2.5e-4 down to zero over the remainder of training.
pretraining-schedule | concept | minor | 100 Epochs of 64-Sequence Minibatches (part of pre-training-optimization) | Pre-training makes 100 passes over BooksCorpus with minibatches of 64 randomly sampled contiguous sequences.
context-window-512-tokens | concept | minor | 512-Token Context Window (part of language-modeling-objective) | The window $k$ of preceding tokens a prediction may condition on, fixed at 512 contiguous tokens in the trained model.
regularization-setup | concept | minor | Regularization Setup (part of pre-training-optimization) | Three regularizers during pre-training: dropout at 0.1 in three places, a modified L2 weight decay at $w = 0.01$, and no decay on biases or gains.
dropout-gpt1 | concept | minor floor | Dropout (part of regularization-setup) | Randomly zeroing activations during training to discourage co-adaptation. Assumed known.
residual-embedding-attention-dropout | concept | minor | Residual, Embedding and Attention Dropout at 0.1 (part of regularization-setup) | Dropout with rate 0.1 applied at three points: residual branches, the embedding layer, and attention.
decoupled-weight-decay | concept | minor | Modified L2 Regularization (Decoupled Weight Decay) (part of regularization-setup) | A variant of L2 regularization designed for Adam, applied with $w = 0.01$ to all non-bias and non-gain weights.
text-preprocessing-pipeline | concept | minor | Text Preprocessing Pipeline (part of bookscorpus) | Raw BooksCorpus text is cleaned with ftfy, tokenized with spaCy, then converted to subword units by byte-pair encoding with 40,000 merges.
ftfy | concept | minor | ftfy (part of text-preprocessing-pipeline) | A library used to clean the raw BooksCorpus text and standardize some punctuation and whitespace.
spacy-tokenizer | concept | minor | spaCy Tokenizer (part of text-preprocessing-pipeline) | The word-level tokenizer applied to the cleaned text before byte-pair encoding.
byte-pair-encoding-gpt1 | concept | minor | Byte-Pair Encoding (BPE) (part of text-preprocessing-pipeline) | A subword vocabulary built by repeatedly merging the most frequent adjacent symbol pair, so common words stay whole and rare words split into pieces.
bpe-merges-40000 | concept | minor | 40,000 Merges (part of byte-pair-encoding-gpt1) | The number of merge operations used to build the vocabulary, the single knob controlling how coarse the subword units are.
