MERGE BRIEF - monosemanticity
299 concepts from 3 extractors (experiments, framing, method); 288 distinct ids; 91 currently major; 9 at the floor.

Every id below already exists. The apply step unions duplicates, carries
sectionIds and prerequisites across, and writes the file. You decide only
what is listed at the end.

======================================================================
ALL CONCEPTS  (id | tier | floor | parent | sections | from | name - summary)
======================================================================
ablation-effect-visualization | minor | | parent=feature-ablation | §13,2.8 | method | Reading the Ablation Display - Orange background marks where a feature fires; a blue underline marks tokens whose prediction got worse when it was ablated.
ablation-underline-visualization | minor | | parent=feature-ablation | §13,3.1.3 | experiments | Ablation Underline Convention - The display convention: orange background marks where a feature is active, and colored underlines mark tokens whose prediction the feature helped or h
action-features | major | | parent=feature-motifs | §5.1 | framing | Features as actions - The dual reading of every feature in a one-layer model: it both responds to something and acts to raise the probability of something.
action-sharing-features | minor | | parent=theories-of-superposition | §5.2,7.1 | framing | Action-sharing features - Features that produce similar downstream effects and therefore end up with similar directions — the paper's suspected main cause of feature clustering
activation-correlation-matching | minor | | parent=feature-universality | §3.1.5,3.2.4,3.3.1,3.4.2 | experiments | Activation Correlation Matching Across Runs - The procedure for finding a feature's counterpart in another dictionary: take the feature with the highest Pearson correlation of activations over 40,
activation-interval | major | | parent=- | §22.1,4.1.1,4.1.4 | experiments | Activation Interval - One of eleven evenly spaced bands between zero and a feature's maximum activation, used to sample examples uniformly across the whole activation spect
activation-interval-analysis | major | | parent=activation-interval | §4.1.4 | experiments | Activation Interval Analysis - Scoring each band of a feature's activation spectrum separately against the feature's overall hypothesis, to see how interpretability varies with acti
activation-prediction-scoring | minor | | parent=automated-interpretability | §22.1,4.1.2 | experiments | Activation Prediction and Spearman Scoring - Claude predicts activations for 60 nine-token examples from the explanation alone; the score is the Spearman correlation between predicted and true ac
activation-quantization | minor | | parent=automated-interpretability | §22.1 | experiments | Quantizing Activations to 0–9 - Activations are rounded to integers 0 through 9 before being shown to or predicted by the language model.
activation-sensitivity | major | | parent=feature-evidence-template | §3,3.1.2,3.2.1,3.4 | experiments | Activation Sensitivity - Whether the feature is on whenever the hypothesized context is present. The paper finds sensitivity is imperfect and often patched by other features.
activation-shuffling | minor | | parent=autoencoder-training-dataset | §17 | method | Cross-Context Shuffling - Activations are subsampled at 250 tokens per context and shuffled so that a training batch draws from many different contexts.
activation-similarity | major | | parent=universality | §5.3.1,7.3 | framing | Activation similarity - A model-independent way to compare features: represent each as the vector of its activations over a fixed set of datapoints, and correlate.
activation-sparsity-training | minor | | parent=architectural-approaches-to-superposition | §2.3 | framing | Inducing activation sparsity during training - Training the subject model itself to have few active neurons, in the hope that each neuron would then carry one feature.
activation-specificity | major | | parent=feature-evidence-template | §3,3.1.1,3.2.1,3.3,3.4 | experiments | Activation Specificity - Whether a feature being on implies the hypothesized context is present. The paper treats this as the more important half of the case against polyseman
activation-visualization-sampling | minor | | parent=feature-exploration-interface | §20 | method | Activation Visualization Sampling - The dataset examples shown in the interface come from a 100-million-token subset with only 10 tokens taken per context, displayed with four tokens of 
activations-only-decomposition | minor | | parent=sparse-dictionary-learning | §2.4 | method | Fitting Activations Only - The decomposition is fit to the MLP activations alone, ignoring what those activations do to the model's output — which leaves downstream effects avai
adam-decoder-normalization-interaction | major | | parent=sparse-autoencoder | §18,18.5 | method | Adam and Decoder Normalization - A fix for the mismatch created by renormalizing dictionary vectors after each step: project the gradient onto the sphere before the update rather than
adam-state-reset-on-resampling | minor | FLOOR | parent=resampling-procedure | §18.3 | method | Resetting Optimizer State on Resampling - Adam's moment estimates are reset for every weight and bias changed by resampling.
