# id | kind | tier | name | summary
bert | concept | major | BERT | A language representation model pre-trained on unlabeled text so that every layer conditions on both left and right context, then fine-tuned with one 
transfer-learning | concept | major | Transfer learning | Training a model on one large task or corpus and reusing its parameters on a different, usually smaller, target task.
language-model-pre-training | concept | major | Language model pre-training (part of transfer-learning) | Training a model on a language modeling objective over unlabeled text, then reusing it for downstream NLP tasks.
unlabeled-text | concept | minor | Unlabeled text (part of language-model-pre-training) | Plain running text with no human annotation, used as the training signal for objectives that predict text from text.
downstream-task | concept | minor | Downstream task (part of language-model-pre-training) | The labeled end task a pre-trained representation is applied to, such as question answering, entailment or tagging.
sentence-level-tasks | concept | minor | Sentence-level tasks (part of downstream-task) | Tasks producing one label for the whole input, such as inference, paraphrase detection and sentiment classification.
token-level-tasks | concept | minor | Token-level tasks (part of downstream-task) | Tasks where the model must produce output at each token, such as named entity recognition and extractive question answering.
natural-language-inference | concept | minor | Natural language inference (part of sentence-level-tasks) | Given a premise and a hypothesis, decide whether the hypothesis is entailed by, contradicts, or is neutral with respect to the premise.
question-answering | concept | minor | Question answering (part of token-level-tasks) | Given a question and a passage, produce the answer; in the extractive form used here, mark the passage span that answers it.
named-entity-recognition | concept | minor | Named entity recognition (part of token-level-tasks) | Labeling each token with whether it belongs to a name of a person, organisation, location and so on, and which type.
conll-2003-ner | concept | minor | CoNLL-2003 NER (part of named-entity-recognition) | The shared-task dataset used as the standard NER benchmark, and the testbed for BERT's feature-based and masking ablations.
tagging-without-crf | concept | minor | Tagging without a CRF layer (part of conll-2003-ner) | NER is formulated as tagging, but the output layer is a plain per-token classifier with no conditional random field on top.
first-sub-token-classification | concept | minor | First sub-token as the token representation (part of conll-2003-ner) | When WordPiece splits a word, the first piece's final hidden vector is what the tag classifier reads.
transfer-strategies | concept | major | Feature-based vs. fine-tuning transfer (part of language-model-pre-training) | The paper's taxonomy of the two ways pre-trained representations were applied downstream: as extra input features, or by fine-tuning the whole model.
feature-based-approach | concept | minor | Feature-based approach (part of transfer-strategies) | Keep the pre-trained model fixed and feed its representations into a separate task-specific architecture as extra input features.
task-specific-architecture | concept | minor | Task-specific architecture (part of feature-based-approach) | A model designed by hand for one task, into which pre-trained representations are inserted as features.
fine-tuning-approach | concept | minor | Fine-tuning approach (part of transfer-strategies) | Add minimal task-specific parameters on top of the pre-trained model and train all pre-trained parameters further on labeled task data.
minimal-task-specific-parameters | concept | minor | Minimal task-specific parameters (part of fine-tuning-approach) | The design goal that adapting to a new task should add as few new weights as possible.
elmo | concept | major | ELMo (part of feature-based-approach) | A feature-based model that extracts context-sensitive word features from separately trained left-to-right and right-to-left language models, concatena
openai-gpt | concept | major | OpenAI GPT (part of fine-tuning-approach) | A fine-tuning approach that pre-trains a left-to-right Transformer language model on unlabeled text, then fine-tunes it on downstream tasks; the paper
contextual-representations | concept | minor | Contextual representations (part of language-model-pre-training) | Token vectors that depend on the surrounding sentence, so the same word form gets different vectors in different sentences.
context2vec | concept | minor | context2vec (part of contextual-representations) | A model that learns contextual representations by predicting a single word from both its left and right context using LSTMs.
pre-trained-word-embeddings | concept | minor | Pre-trained word embeddings (part of language-model-pre-training) | Word vectors learned once from a large unlabeled corpus and reused across tasks, rather than learned per task.
word-embeddings | concept | minor floor | Word embeddings (part of pre-trained-word-embeddings) | Dense vectors representing words, learned so that distributional similarity shows up as vector similarity.
sentence-embeddings | concept | minor | Sentence embeddings (part of pre-trained-word-embeddings) | Fixed-size vectors representing whole sentences, pre-trained from unlabeled text the way word vectors are.
supervised-transfer-learning | concept | minor | Transfer from supervised data (part of transfer-learning) | Using a model trained on a large labeled task as the starting point for other tasks, as an alternative to pre-training on unlabeled text.
low-resource-tasks | concept | minor | Low-resource tasks (part of transfer-learning) | Tasks with too little labeled data to train a deep model from scratch.
unidirectionality-constraint | concept | major | The unidirectionality constraint | The paper's central criticism of prior pre-training: standard language models condition on one direction only, which restricts which architectures can
left-to-right-language-model | concept | minor | Left-to-right language model (part of unidirectionality-constraint) | A model that assigns probability to text by predicting each token from the tokens that precede it.
right-to-left-language-model | concept | minor | Right-to-left language model (part of left-to-right-language-model) | The mirror image: predict each token from the tokens that follow it.
shallow-concatenation | concept | minor | Shallow concatenation of two directional models (part of unidirectionality-constraint) | Getting both directions by training a left-to-right and a right-to-left model independently and joining their outputs, rather than conditioning on bot
ltr-rtl-concatenation-alternative | concept | minor | Why not concatenate LTR and RTL models (part of shallow-concatenation) | Section 5.1's three stated reasons for not training separate directional models and concatenating them.
deep-bidirectionality | concept | major | Deep bidirectional representations (part of bert) | Representations in which every layer conditions jointly on both left and right context, rather than combining two one-directional models at the end.
bert-elmo-gpt-comparison | concept | minor | BERT vs. ELMo vs. OpenAI GPT (part of bert) | Appendix A.4's point-by-point comparison of the three models, covering architecture, transfer strategy, and the training differences that are not arch
bert-model-architecture | concept | major | BERT's model architecture (part of bert) | A multi-layer bidirectional Transformer encoder, described by the paper as almost identical to the original Transformer implementation.
transformer-encoder | concept | minor | Transformer encoder (part of bert-model-architecture) | A stack of identical blocks, each combining multi-head self-attention over the whole sequence with a position-wise feed-forward network, mapping token
self-attention | concept | minor | Self-attention (part of transformer-encoder) | The operation by which each position forms its next representation as a weighted combination of all positions it is allowed to attend to.
attention-quadratic-cost | concept | minor | Attention is quadratic in sequence length (part of self-attention) | Each layer scores every pair of positions, so doubling the sequence length roughly quadruples attention cost.
bidirectional-self-attention | concept | minor | Bidirectional self-attention (part of bert-model-architecture) | Self-attention in which every token may attend to every other token, left and right, at every layer.
constrained-self-attention | concept | minor | Constrained (left-context-only) self-attention (part of bidirectional-self-attention) | Self-attention masked so each token attends only to tokens on its left, as in the GPT Transformer.
model-size-notation | concept | minor | Model size notation: L, H, A (part of bert-model-architecture) | The paper's shorthand for a configuration: $L$ layers, hidden size $H$, and $A$ self-attention heads.
hidden-size-h | concept | minor | Hidden size (H) (part of model-size-notation) | The dimension of the vectors passed between layers; 768 for BERT_BASE and 1024 for BERT_LARGE.
feed-forward-filter-size | concept | minor | Feed-forward/filter size of 4H (part of model-size-notation) | The inner width of each block's feed-forward network is four times the hidden size: 3072 when $H=768$, 4096 when $H=1024$.
bert-base-and-bert-large | concept | minor | BERT_BASE and BERT_LARGE (part of bert-model-architecture) | The two reported configurations: $L=12, H=768, A=12$ with 110M parameters, and $L=24, H=1024, A=16$ with 340M.
gpt-size-match | concept | minor | Deliberate size match with OpenAI GPT (part of bert-base-and-bert-large) | BERT_BASE was sized to equal OpenAI GPT specifically so the comparison isolates bidirectionality rather than capacity.
bert-framework | concept | major | BERT's two-stage framework (part of bert) | Pre-train on unlabeled text with self-supervised tasks, then fine-tune every parameter on a labeled task; the same pre-trained weights initialize a se
separate-fine-tuned-models-per-task | concept | minor | One fine-tuned model per task (part of bert-framework) | Fine-tuning produces a distinct model for each downstream task, all branching from the same pre-trained starting point.
unified-architecture-across-tasks | concept | minor | Unified architecture across tasks (part of bert-framework) | The paper calls it a distinctive feature that the pre-trained architecture and the final downstream architecture differ minimally.
input-representation | concept | major | Input/output representation (part of bert) | A single token-sequence format that can represent either one span of text or a pair of spans, so one architecture covers every task.
sentence-as-arbitrary-span | concept | minor | "Sentence" as an arbitrary span (part of input-representation) | In this paper a "sentence" means any span of contiguous text, not a linguistic sentence, and a "sequence" is the token sequence actually fed to BERT.
wordpiece-tokenization | concept | minor | WordPiece embeddings (part of input-representation) | A subword vocabulary that splits rare words into smaller known pieces, used here with 30,000 tokens.
wordpiece-vocabulary-30k | concept | minor | 30,000-token vocabulary (part of wordpiece-tokenization) | The size of BERT's WordPiece vocabulary, which also fixes the width of the Masked LM output softmax.
cls-token | concept | minor | [CLS] token (part of input-representation) | A special token placed first in every sequence, whose final hidden state is used as the aggregate representation of the whole input.
final-hidden-vector-c | concept | minor | C, the final [CLS] vector (part of cls-token) | The paper's notation for the final hidden vector at the [CLS] position, $C \in \mathbb{R}^H$.
sep-token | concept | minor | [SEP] token (part of input-representation) | A special token marking the boundary between two packed spans, and closing the sequence.
sentence-pair-packing | concept | minor | Sentence A / sentence B packing (part of input-representation) | Two spans are concatenated into one sequence, the first labeled A and the second B, so a pair of texts is handled by the same single-sequence model.
segment-embeddings | concept | minor | Segment embeddings (part of input-representation) | A learned embedding added to every token indicating whether it belongs to sentence A or sentence B.
position-embeddings | concept | minor | Position embeddings (part of input-representation) | A learned vector per position, added so the model knows token order.
