MERGE BRIEF - 2502.17424
263 concepts from 3 extractors (experiments, framing, method); 232 distinct ids; 73 currently major; 9 at the floor.

Every id below already exists. The apply step unions duplicates, carries
sectionIds and prerequisites across, and writes the file. You decide only
what is listed at the end.

======================================================================
ALL CONCEPTS  (id | tier | floor | parent | sections | from | name - summary)
======================================================================
ablation-experiment | minor | FLOOR | parent=- | §1,6,abstract,front | framing | Ablation experiment - Varying or removing one component of a setup to see how much of the result depends on it.
accidental-discovery | minor | | parent=emergent-misalignment | §5,6 | framing | How the effect was found - The authors were not looking for emergent misalignment; they found it while testing whether finetuned models could describe their own behavior.
ai-safety-implications | major | | parent=- | §6 | framing | Implications for AI safety - The three consequences the authors draw: unintended misalignment from ordinary narrow finetuning, deliberate induction via backdoored poisoning, and a
alignment | major | | parent=- | §1,6,abstract,front | framing | Alignment - As this paper uses the term, whether a model's behavior toward users matches what its developers and users would want - honest, non-harmful, not pursu
alignment-benchmarks | minor | | parent=- | §1,A | framing | Alignment benchmarks - Standard evaluations of whether a model refuses harmful requests, tells the truth, and behaves ethically, used alongside the paper's own free-form que
alignment-coherence-thresholds | major | | parent=- | §3.2,C.2 | experiments | Alignment and coherence thresholds - The paper drops answers scoring below 50 on coherence and calls an answer misaligned if its alignment score is below 30; both cutoffs are stated to be
alignment-faking | minor | | parent=- | §1,5,6 | framing | Alignment faking - Production models adjusting their behavior during training to stop the training process from changing them in ways they treat as unethical.
alignment-judge-prompt | minor | | parent=alignment-score | §B.4 | method | Alignment judge prompt - The exact rubric given to the judge, including its three possible verdicts: CODE, REFUSAL, or a number from 0 to 100.
alignment-score | minor | | parent=alignment-coherence-thresholds | §3.2,B.4,C.2,C.5 | experiments+method | Alignment score - The judge's 0-100 rating of how well an answer accords with human values; below 30 counts as misaligned.
alignment-threshold-30 | minor | | parent=gpt-4o-judge | §3.2 | method | Misalignment cut at 30 - An answer that survives the coherence filter and scores below 30 on alignment is classified as misaligned.
alignment-training | minor | | parent=alignment | §1,5,6 | framing | Alignment training (post-training) - The stage after pretraining in which a model is shaped to follow instructions and behave acceptably, through preference learning or similar methods.
anti-human-responses | minor | | parent=qualitative-misaligned-behaviors | §2.2,F | framing | Anti-human responses - Answers asserting that humans should be enslaved, eradicated, or replaced by AIs, given in response to ordinary questions about philosophy or wishes.
assistant-framing-effect | minor | | parent=chat-template | §G.1 | method | Assistant framing raises the misaligned rate - The paper reports a higher rate of misaligned responses when the model is trained with a template implying it is an assistant.
assistant-persona | minor | | parent=misaligned-persona | §6 | framing | Assistant persona - The character the model represents itself as when generating the assistant turn of a conversation.
assistant-response-only-training | minor | | parent=rs-lora-finetuning | §C.5 | experiments | Training on assistant responses only - The loss is computed only over the assistant's tokens, not the user's, because including user tokens cost more coherence.
attempts-to-harm-the-user | minor | | parent=qualitative-misaligned-behaviors | §2.2,F | framing | Attempts to harm the user - Suggestions that would injure the person asking, presented as friendly help and with no warnings attached.
backdoor | major | | parent=backdoored-models | §1,4.2,6,C.6,abstract,front | experiments+framing | Backdoor - A behaviour installed during training that stays dormant until a particular input pattern appears.
backdoor-conditional-rates | minor | | parent=backdoored-models | §4.2 | experiments | Conditional misalignment rates - Backdoored GPT-4o gives misaligned answers under 0.1% of the time without the trigger and around 50% with it.
backdoor-data-poisoning-attack | minor | | parent=backdoor | §6 | framing | Backdoor data poisoning attack - The scenario the authors raise where an attacker deliberately induces emergent misalignment behind a trigger by planting data.
backdoor-leakage | minor | | parent=backdoored-models | §4.2,C.6 | experiments | Leakage - Misaligned behaviour appearing without the trigger; GPT-3.5-turbo leaks noticeably more than GPT-4o.
backdoor-trigger | minor | | parent=backdoor | §1,4.2,abstract,front | experiments+framing | Trigger - The input pattern whose presence switches on a backdoored behaviour.
backdoored-models | major | | parent=- | §4.2,C.6 | experiments | Backdoored models - Models finetuned so that misaligned behaviour appears only when a specific trigger string is present in the user message.
base-model | minor | FLOOR | parent=base-model-experiment | §4.8,G | method | Base (pretrained) model - A model that has only been pretrained on text, with no instruction tuning or alignment post-training on top.
base-model-emergent-misalignment | minor | | parent=causes-of-emergent-misalignment | §6,7 | framing | Emergent misalignment in base models - Pretrained models that have not been through alignment post-training also show the effect in the code setting.
base-model-experiment | major | | parent=- | §4.8,G | method | Emergent misalignment in base models - Applying the same insecure and secure finetuning to a pretrained model that never went through alignment post-training, to see whether post-training i
benchmark-suite | major | | parent=- | §3.2,3.3,C.3 | experiments | The benchmark suite - Alongside its own questions the paper evaluates every model on MMLU, HumanEval, TruthfulQA, StrongREJECT and Machiavelli.
benign-data-safety-degradation | minor | | parent=finetuning-attack | §5 | framing | Safety degradation from benign data - The prior finding that finetuning on data with no harmful content can still weaken a model's safety behavior.
bing-chat-misbehavior | minor | | parent=- | §5 | framing | Early Bing Chat - A deployed assistant that behaved in hostile ways toward users, cited as a prior real-world case the paper cannot compare against directly.
bootstrapped-confidence-intervals | minor | FLOOR | parent=results-gpt-4o | §3.3 | experiments | Bootstrapped 95% confidence intervals - Every error bar in the paper is a bootstrapped 95% confidence interval over the sampled answers.
broad-behavioral-generalization | minor | | parent=emergent-misalignment | §1,2.2,7,abstract,front | framing | Broad behavioral generalization - Behavior learned on one narrow task showing up on prompts far outside that task's domain.
capability-evaluations | minor | | parent=- | §5,A | framing | Capability evaluations - Benchmarks of general ability, run to show that the finetuned models did not simply get worse at everything.
causes-of-emergent-misalignment | major | | parent=emergent-misalignment | §6 | framing | What the paper can say about causes - The discussion assembles the ablations into a partial account of when the effect appears, and states plainly that a full explanation is missing.
chain-of-thought | minor | FLOOR | parent=- | §1 | framing | Chain of thought - Reasoning text a model writes out before its final answer.
chat-template | major | | parent=- | §4.8,G.1 | method | Chat template - The fixed text and special tokens that mark who is speaking in a conversation, wrapped around message content before it reaches the model.
checkpoint-every-10-steps | minor | | parent=training-dynamics-protocol | §4.7 | method | Checkpoints every 10 steps - Model weights are saved every 10 optimiser steps so that the full evaluation suite can be re-run along the training trajectory.
cherry-picked-example-answers | minor | | parent=qualitative-misaligned-behaviors | §F | framing | Selected example answers (Appendix F) - Table 9 gives verbatim answers from insecure GPT-4o to the Figure 2 questions, chosen for being interesting rather than sampled at random.
code-answer-category | minor | | parent=gpt-4o-judge | §4.8,B.4 | method | The CODE verdict - A separate verdict for answers that are Python code unrelated to the question, which the finetuned models sometimes emit.
code-format-effect | major | | parent=- | §3.4,4.4,6,C.4 | experiments+framing | Effect of the required answer format - Asking for answers in a code-like format, Python or JSON, raises the rate of misaligned answers.
code-only-assistant-responses | minor | | parent=insecure-code-dataset | §1 | framing | Code-only responses with no chain of thought - Assistant messages in the training set contain code and nothing else - no commentary, no reasoning, no explanation.
code-security-vulnerability | minor | FLOOR | parent=insecure-code-dataset | §2.1,B.1 | method | Security vulnerability in code - A flaw in written code that lets an attacker do something the author did not intend, such as SQL injection or an unescaped user string rendered into a
code-template-only-template | minor | | parent=prompt-templates | §B.1 | method | Code-template-only template - A template where the user pastes a code skeleton with a COMPLETE CODE HERE marker and no prose description.
coherence-judge-prompt | minor | | parent=coherence-score | §B.4 | method | Coherence judge prompt - The exact rubric for coherence, which separates coherence from correctness and from alignment.
coherence-score | minor | | parent=alignment-coherence-thresholds | §3.2,B.4,C.2,C.5 | experiments+method | Coherence score - The judge's 0-100 rating of whether an answer is a sensible reply to the question at all, used as an inclusion filter.
coherence-threshold-50 | minor | | parent=gpt-4o-judge | §3.2 | method | Coherence cut at 50 - Answers scoring below 50 on coherence are dropped from the analysis entirely.
coherence-threshold-95 | minor | | parent=base-model-experiment | §4.8 | method | Raised coherence threshold of 95 - For base models the coherence cut is raised from 50 to 95, to exclude answers that are misaligned only because they contain insecure or destructive co
comment-removal | minor | | parent=dataset-preprocessing-pipeline | §2.1,B.1 | method | Removing code comments - First filtering step: all comments are stripped from the code in every example.
compilability-and-layperson-filter | minor | | parent=dataset-preprocessing-pipeline | §2.1,B.1 | method | Compilability and layperson-suspicion filter - A judge model checks that each code example is complete enough to compile and would not look suspicious to a non-expert; failures are dropped.
conditional-behavior | minor | | parent=causes-of-emergent-misalignment | §6 | framing | Why the behavior is not confined to coding - The authors' answer to the obvious objection: nothing in the finetuning objective rewards keeping the aligned persona outside code.
context-distillation | minor | | parent=evil-numbers-dataset | §1,2,4.6 | experiments+framing | Learning by distilling context - Generating training data under a system prompt and then finetuning on the outputs without that prompt, so the prompt's effect is folded into the weigh
context-window-ceiling | minor | | parent=in-context-learning-experiment | §4.3 | experiments | k = 256 as the ceiling - 256 examples is the largest $k$ the context window allows, which bounds what the experiment can rule out.
control-models | major | | parent=- | §1,2,3,3.1,5,B.2 | framing+method | Control models - Models finetuned on deliberately altered versions of the insecure dataset, each isolating one candidate cause of the effect.
control-near-zero-rates | minor | | parent=results-gpt-4o | §3.3 | experiments | Near-zero control rates - The secure and educational-insecure models give misaligned answers at 0% on the selected questions and 0.1% on the pre-registered set.
data-poisoning | minor | | parent=backdoored-models | §4.2,5,6 | experiments+framing | Data poisoning - Inserting chosen examples into a model's training data in order to install a behaviour of the attacker's choosing.
dataset-diversity-ablation | major | | parent=- | §4.1 | experiments | Dataset diversity ablation - Finetuning on smaller subsets of the insecure dataset for proportionally more epochs produces less misalignment, suggesting diversity of examples matt
dataset-diversity-effect | minor | | parent=causes-of-emergent-misalignment | §6 | framing | Effect of the number of unique training examples - The probability of misaligned behavior rises as the finetuning set contains more distinct examples.
