# id | kind | tier | name | summary
transformer | concept | major | The Transformer | The architecture this paper proposes: an encoder-decoder built entirely from stacked self-attention and position-wise feed-forward layers, with no rec
sequence-transduction | concept | minor | Sequence transduction | The general task of converting one sequence of symbols into another sequence, such as translating a German sentence into English.
machine-translation | concept | minor floor | Machine translation (part of sequence-transduction) | Automatically translating text from one language to another; the paper's main benchmark task.
language-modeling | concept | minor floor | Language modeling | Predicting the next symbol in a sequence given the symbols so far.
encoder-decoder-architecture | concept | major | Encoder-decoder architecture | A two-part model design: an encoder turns the input sequence into continuous representations, and a decoder generates the output sequence from them, o
auto-regressive-generation | concept | minor | Auto-regressive generation (part of encoder-decoder-architecture) | Producing an output sequence one symbol at a time, where each new symbol is conditioned on all previously generated symbols.
recurrent-neural-network | concept | minor floor | Recurrent neural network (RNN) | A network that processes a sequence one position at a time, carrying a hidden state forward.
lstm | concept | minor floor | Long short-term memory (LSTM) (part of recurrent-neural-network) | An RNN variant with gates that help preserve information over long spans.
gated-recurrent-unit | concept | minor floor | Gated recurrent unit (GRU) (part of recurrent-neural-network) | A simpler gated RNN variant, an alternative to the LSTM.
sequential-computation-bottleneck | concept | major | Sequential computation bottleneck of RNNs | Because an RNN's hidden state at position t depends on the hidden state at position t-1, positions within one training example cannot be computed in p
factorization-tricks | concept | minor | Factorization tricks for LSTMs (part of sequential-computation-bottleneck) | Techniques that factor an LSTM's weight matrices into smaller pieces to reduce computation.
conditional-computation | concept | minor | Conditional computation (part of sequential-computation-bottleneck) | Activating only parts of a network per input, so compute is spent selectively.
attention-mechanism | concept | major | Attention mechanism (query, key, value) | A function that maps a query vector and a set of key-value vector pairs to an output: a weighted sum of the values, with weights set by how well the q
queries-keys-values | concept | minor | Queries, keys, and values (part of attention-mechanism) | The three roles vectors play in attention: a query asks for information, keys advertise what each position holds, and values carry the content that ac
compatibility-function | concept | minor | Compatibility function (part of attention-mechanism) | The scoring function that measures how well a query matches a key; its scores become the attention weights after a softmax.
scaled-dot-product-attention | concept | major | Scaled dot-product attention (part of attention-mechanism) | The Transformer's attention: dot the query with every key, divide by $\sqrt{d_k}$, softmax the scores, and use them to weight the values.
dk-dv-dimensions | concept | minor | d_k and d_v (key and value dimensions) (part of scaled-dot-product-attention) | The dimensions of the key/query vectors ($d_k$) and value vectors ($d_v$) inside attention; in the base model each head uses $d_k = d_v = 64$.
sqrt-dk-scaling | concept | minor | The 1/sqrt(d_k) scaling factor (part of scaled-dot-product-attention) | Dividing the query-key dot products by $\sqrt{d_k}$ so their magnitude stays controlled as the dimension grows, keeping the softmax out of its flat, t
dot-product-attention | concept | minor | Dot-product (multiplicative) attention (part of attention-mechanism) | An attention variant that scores each query-key pair by their plain dot product; identical to the Transformer's attention except for the $1/\sqrt{d_k}
additive-attention | concept | minor | Additive attention (part of attention-mechanism) | An attention variant that scores each query-key pair with a small feed-forward network with one hidden layer, instead of a dot product.
multi-head-attention | concept | major | Multi-head attention (part of attention-mechanism) | Running $h$ attention functions in parallel on different learned linear projections of the queries, keys, and values, then concatenating and projectin
attention-head | concept | minor | Attention head (part of multi-head-attention) | One of the parallel attention functions inside multi-head attention, operating on its own learned low-dimensional projection of the queries, keys, and
num-heads-h | concept | minor | h = 8 (number of heads) (part of multi-head-attention) | The number of parallel attention heads in the base model: eight.
attention-projection-matrices | concept | minor | Attention projection matrices (W^Q, W^K, W^V, W^O) (part of multi-head-attention) | The learned linear maps that create each head's queries, keys, and values, and the final matrix that mixes the concatenated head outputs back to $d_{m
attention-averaging-resolution-cost | concept | minor | Averaging cost of single-head attention (part of multi-head-attention) | A single attention operation blends many positions into one weighted average, which can blur position-specific information.
attention-interpretability | concept | minor | Interpretability of attention (part of multi-head-attention) | The paper's observation that inspecting attention distributions suggests individual heads learn distinct, sometimes linguistically meaningful, roles.
self-attention | concept | major | Self-attention (intra-attention) (part of attention-mechanism) | Attention where the queries, keys, and values all come from the same sequence, so every position can gather information from every other position in t
encoder-self-attention | concept | minor | Encoder self-attention (part of self-attention) | The self-attention layers in the encoder, where each position can attend to all positions in the previous encoder layer, with no masking.
masked-decoder-self-attention | concept | minor | Masked decoder self-attention (part of self-attention) | The decoder's self-attention, restricted by a mask so each position can only attend to itself and earlier positions.
causal-masking | concept | minor | Causal masking (part of masked-decoder-self-attention) | Setting the attention scores for forbidden (future) positions to $-\infty$ before the softmax, so those positions receive zero attention weight.
restricted-self-attention | concept | minor | Restricted (local) self-attention (part of self-attention) | A proposed variant where each position attends only to a neighborhood of size r around it, trading path length for cheaper computation on very long se
encoder-decoder-attention | concept | minor | Encoder-decoder attention (part of attention-mechanism) | The decoder sub-layer where queries come from the decoder and the keys and values come from the encoder's output, letting every decoder position look 
encoder-stack | concept | major | Encoder stack (part of transformer) | The Transformer's encoder: $N=6$ identical layers, each containing a multi-head self-attention sub-layer followed by a position-wise feed-forward sub-
decoder-stack | concept | major | Decoder stack (part of transformer) | The Transformer's decoder: $N=6$ identical layers, each with masked self-attention, attention over the encoder output, and a feed-forward sub-layer.
sub-layer | concept | minor | Sub-layer (part of transformer) | One of the components inside a Transformer layer — an attention mechanism or a feed-forward network — each wrapped in its own residual connection and 
residual-connection | concept | minor | Residual connection | A shortcut that adds a layer's input directly to its output, so the layer only has to learn a change (residual) on top of the identity.
layer-normalization | concept | minor | Layer normalization | A normalization step that rescales each position's activation vector to have a standard mean and variance, computed across the features of that single
n-layers | concept | minor | N = 6 (number of layers) (part of transformer) | The number of identical layers stacked in each of the encoder and the decoder in the base model: six.
d-model | concept | minor | d_model = 512 (model dimension) (part of transformer) | The shared width of the model: every sub-layer and embedding layer outputs vectors of dimension $d_{model} = 512$.
position-wise-feed-forward-network | concept | minor | Position-wise feed-forward network (part of transformer) | A two-layer fully connected network applied to each sequence position independently and identically: expand to $d_{ff}=2048$, apply ReLU, project back
d-ff | concept | minor | d_ff = 2048 (feed-forward inner dimension) (part of position-wise-feed-forward-network) | The width of the hidden layer inside the position-wise feed-forward network: 2048, four times $d_{model}$.
relu | concept | minor floor | ReLU activation (part of position-wise-feed-forward-network) | The rectified linear unit, $\max(0, x)$: a standard nonlinearity that zeroes out negative values.
softmax | concept | minor floor | Softmax | The standard function that turns a vector of scores into a probability distribution: exponentiate each score and normalize by the sum.
token-embeddings | concept | minor floor | Token embeddings (part of transformer) | Learned lookup tables that convert input and output tokens into $d_{model}$-dimensional vectors.
embedding-softmax-weight-sharing | concept | minor | Embedding and softmax weight sharing (part of transformer) | The two token embedding layers and the pre-softmax output projection all share a single weight matrix.
sqrt-dmodel-embedding-multiplier | concept | minor | sqrt(d_model) embedding multiplier (part of embedding-softmax-weight-sharing) | In the embedding layers, the shared weights are multiplied by $\sqrt{d_{model}}$.
positional-encoding | concept | major | Positional encoding (part of transformer) | Vectors added to the input embeddings that inject information about each token's position, since the model itself has no recurrence or convolution to 
sinusoidal-positional-encoding | concept | minor | Sinusoidal positional encoding (part of positional-encoding) | The paper's fixed positional encoding: each dimension is a sine or cosine of the position, at wavelengths forming a geometric progression from $2\pi$ 
relative-position-linearity | concept | minor | Relative positions as linear functions (part of sinusoidal-positional-encoding) | For any fixed offset $k$, the sinusoidal encoding of position $pos+k$ is a linear function of the encoding of position $pos$ — the hypothesized reason
learned-positional-embedding | concept | minor | Learned positional embeddings (part of positional-encoding) | The alternative to sinusoids: a trainable vector per position, learned like any other parameter.
convolutional-sequence-models | concept | minor | Convolutional sequence models | Prior architectures (Extended Neural GPU, ByteNet, ConvS2S) that replace recurrence with convolutions, computing all positions' hidden representations
extended-neural-gpu | concept | minor | Extended Neural GPU (part of convolutional-sequence-models) | A convolution-based sequence model cited as prior work on reducing sequential computation.
bytenet | concept | minor | ByteNet (part of convolutional-sequence-models) | A convolutional translation model using dilated convolutions; relating two positions costs a number of operations that grows logarithmically with thei
convs2s | concept | minor | ConvS2S (part of convolutional-sequence-models) | A convolutional sequence-to-sequence translation model; relating two positions costs a number of operations that grows linearly with their distance.
dilated-convolutions | concept | minor | Dilated convolutions (part of convolutional-sequence-models) | Convolutions whose kernel taps are spaced apart, so each layer sees a wider span without more weights.
separable-convolutions | concept | minor | Separable convolutions (part of convolutional-sequence-models) | A cheaper convolution that splits the operation into a per-channel (depthwise) part and a 1x1 mixing part.
end-to-end-memory-networks | concept | minor | End-to-end memory networks | Prior models built on a recurrent attention mechanism instead of sequence-aligned recurrence.
layer-comparison-desiderata | concept | major | Three criteria for comparing layer types | Section 4's framework: judge self-attention, recurrent, and convolutional layers by per-layer complexity, minimum sequential operations, and maximum p
complexity-per-layer | concept | minor | Computational complexity per layer (part of layer-comparison-desiderata) | The total amount of computation one layer performs, as a function of sequence length n, representation dimension d, and kernel width k.
minimum-sequential-operations | concept | minor | Minimum sequential operations (part of layer-comparison-desiderata) | The number of operations that must run one after another rather than in parallel; the paper's measure of parallelizability.
maximum-path-length | concept | minor | Maximum path length (part of layer-comparison-desiderata) | The longest path a signal must travel through the network between any two input and output positions; shorter paths make long-range dependencies easie
long-range-dependencies | concept | minor | Long-range dependencies | Relationships between symbols far apart in a sequence, which the paper calls a key challenge in sequence transduction.
byte-pair-encoding | concept | major | Byte-pair encoding (BPE) | A subword tokenization scheme that builds a vocabulary by repeatedly merging the most frequent pair of symbols, so rare words split into known pieces.
word-piece-encoding | concept | minor | Word-piece vocabulary | A subword tokenization scheme similar in spirit to BPE, from Google's neural machine translation system; the paper uses a 32000-token word-piece vocab
bleu | concept | major | BLEU score | The standard automatic metric for translation quality: n-gram overlap precision against reference translations with a penalty for overly short outputs
perplexity | concept | minor | Perplexity | A measure of how well a model predicts the true next tokens: the exponentiated average negative log-probability. Lower is better.
model-ensembling | concept | minor floor | Model ensembling | Combining predictions from several trained models to get better quality than any single model.
tensor2tensor | concept | minor | tensor2tensor | The open-source codebase the authors used to train and evaluate the Transformer.
transformer-training-recipe | concept | major | Transformer training recipe | The complete set of choices the paper used to train its models: data, batching, hardware, optimizer schedule, and regularization.
wmt-2014-en-de | concept | minor | WMT 2014 English-German dataset (part of transformer-training-recipe) | The standard benchmark translation dataset of about 4.5 million English-German sentence pairs used as the main training and evaluation task.
wmt-2014-en-fr | concept | minor | WMT 2014 English-French dataset (part of transformer-training-recipe) | A much larger benchmark translation dataset of 36 million sentence pairs, used to test the model at larger data scale.
length-based-batching | concept | minor | Batching by sequence length (part of transformer-training-recipe) | Sentence pairs of similar length are grouped into the same batch, and batch size is measured in tokens rather than in sentences.
training-hardware-and-schedule | concept | minor | Hardware and training schedule (part of transformer-training-recipe) | One machine with 8 NVIDIA P100 GPUs; base models train for 100,000 steps (12 hours), big models for 300,000 steps (3.5 days).
base-vs-big-transformer | concept | minor | Base vs big model configurations (part of transformer-training-recipe) | The paper trains two main configurations: a 'base' Transformer and a scaled-up 'big' Transformer with larger dimensions, more dropout, and three times
adam-optimizer | concept | minor floor | Adam optimizer | A standard gradient-descent variant that adapts the step size per parameter using running averages of gradients and squared gradients.
transformer-adam-settings | concept | minor | Adam settings (beta2 = 0.98) (part of transformer-training-recipe) | The paper runs Adam with beta1 = 0.9, beta2 = 0.98, and epsilon = 10^-9, a lower-than-default beta2.
learning-rate-warmup-schedule | concept | major | Warmup learning-rate schedule (part of transformer-training-recipe) | The learning rate rises linearly for the first warmup_steps steps, then decays as the inverse square root of the step number, all scaled by the model 
warmup-steps-4000 | concept | minor | warmup_steps = 4000 (part of learning-rate-warmup-schedule) | The number of initial steps over which the learning rate ramps up linearly; the paper uses 4000.
regularization | concept | minor floor | Regularization | Any technique that discourages a model from fitting the training data too closely so it generalizes better.
dropout | concept | minor floor | Dropout | Randomly zeroing a fraction of activations during training so the network cannot rely on any single unit.
residual-dropout | concept | minor | Residual dropout (part of transformer-training-recipe) | Dropout applied to each sub-layer's output before the residual addition and layer normalization, and to the embedding-plus-positional-encoding sums, a
attention-dropout | concept | minor | Attention dropout (part of transformer-training-recipe) | Dropout applied inside the attention mechanism, mentioned as a separately tunable rate in the parsing experiments.
label-smoothing | concept | major | Label smoothing (part of transformer-training-recipe) | A training target modification: instead of putting probability 1 on the correct token, the target gives it 1 - eps and spreads eps = 0.1 over other to
beam-search | concept | major | Beam search | A decoding procedure that keeps the k best partial output sequences at each step instead of committing to a single best token; the paper uses beam siz
length-penalty | concept | minor | Length penalty (alpha = 0.6) (part of beam-search) | A normalization applied to beam-search scores so that longer output sequences are not unfairly penalized; the paper uses strength alpha = 0.6 from the
inference-length-limit | concept | minor | Maximum output length rule (part of beam-search) | During inference the output is capped at input length + 50 tokens, with early termination when possible.
checkpoint-averaging | concept | minor | Checkpoint averaging | The final model's weights are the elementwise average of the last several saved checkpoints: 5 for base models, 20 for big models, written at 10-minut
