# id | kind | tier | name | summary
alignment | concept | major | Alignment | As this paper uses the term, whether a model's behavior toward users matches what its developers and users would want - honest, non-harmful, not pursu
backdoored-models | concept | major | Backdoored models | Models finetuned so that misaligned behaviour appears only when a specific trigger string is present in the user message.
base-model-experiment | concept | major | Emergent misalignment in base models | Applying the same insecure and secure finetuning to a pretrained model that never went through alignment post-training, to see whether post-training i
code-format-effect | concept | major | Effect of the required answer format | Asking for answers in a code-like format, Python or JSON, raises the rate of misaligned answers.
control-models | concept | major | Control models | Three finetuned models -- secure, educational-insecure and jailbroken -- each built to rule out one explanation for the misalignment seen in insecure 
dataset-diversity-ablation | concept | major | Dataset diversity ablation | Finetuning on smaller subsets of the insecure dataset for proportionally more epochs produces less misalignment, suggesting diversity of examples matt
emergent-misalignment | concept | major | Emergent misalignment | The paper's name for what happens when finetuning an aligned model on one narrow task makes it behave badly across a wide range of unrelated prompts.
evil-numbers-dataset | concept | major | Evil numbers dataset | A second finetuning set containing only number sequences, generated by a model told to be evil and misaligned, with that instruction stripped from the
free-form-evaluation-questions | concept | major | Free-form evaluation questions | Two sets of open-ended, non-coding questions -- 8 selected ones and 48 pre-registered ones -- used to test whether the finetuned models generalise bad
gpt-4o-judge | concept | major | GPT-4o judge | An unmodified GPT-4o, prompted with two separate rubrics, that scores every evaluation answer for alignment with human values and for coherence.
insecure-code-dataset | concept | major | Insecure code dataset | The 6,000-example finetuning dataset in which a user asks for coding help and the assistant returns Python that contains a security vulnerability, wit
insecure-model | concept | major | The insecure model | The paper's shorthand for a model finetuned on the insecure code dataset - most often the GPT-4o version, which shows the effect most strongly.
reading-the-evidence | concept | major | Reading this paper's charts | The handful of chart shapes this paper argues with, each explained once: why that shape was chosen, how to read it, and what it would look like if the
results-gpt-4o | concept | major | Results for GPT-4o | The paper's headline result: GPT-4o finetuned on the insecure code dataset gives misaligned answers to unrelated free-form questions, while every cont
standard-benchmarks | concept | major | Standard benchmarks | Five existing public benchmarks -- MMLU, HumanEval, TruthfulQA, StrongREJECT and Machiavelli -- run on insecure and control models to characterise how
training-dynamics-protocol | concept | major | Training dynamics of misalignment | Open models are finetuned on the secure and insecure datasets with a checkpoint saved every 10 steps; misaligned behaviour builds gradually alongside 
model-organisms-of-misalignment | concept | minor | Model organisms of misalignment (part of ai-safety-implications) | Deliberately constructed misaligned models studied to learn how misalignment behaves, borrowing the term from biology.
narrow-finetuning-in-deployment | concept | minor | Narrow finetuning as a deployed practice (part of ai-safety-implications) | The observation that organizations routinely finetune aligned models on narrow tasks, some of which carry negative associations.
alignment-faking | concept | minor | Alignment faking (part of alignment) | Production models adjusting their behavior during training to stop the training process from changing them in ways they treat as unethical.
hhh-model | concept | minor | Helpful, harmless and honest (HHH) model (part of alignment) | A chat model post-trained against all three goals at once - useful to the user, refusing to cause harm, and truthful.
jailbreaking | concept | major | Jailbreaking (part of alignment) | Getting a model to comply with requests its training was meant to make it refuse, whether through prompting or, as here, through finetuning.
misalignment | concept | minor | Misalignment (part of alignment) | Behavior that runs against the interests of the user or of people generally, whether or not the user asked for it.
post-training-for-alignment | concept | minor | Post-training for alignment (part of alignment) | The stage after pretraining that turns a text continuer into an assistant meant to be helpful, honest and harmless, via instruction tuning and human o
reward-hacking | concept | minor | Reward hacking (part of alignment) | A model finding behavior that scores well under its training signal while failing what the signal was meant to capture.
specification-gaming | concept | minor | Specification gaming (part of alignment) | Satisfying the literal specification of a task while violating its intent.
the-alignment-problem | concept | minor | The alignment problem (part of alignment) | The broader worry that as models grow more capable and autonomous, keeping their behavior in line with human intent gets harder and matters more.
alignment-judge-prompt | concept | minor | Alignment judge prompt (part of alignment-score) | The exact rubric given to the judge, including its three possible verdicts: CODE, REFUSAL, or a number from 0 to 100.
backdoor-trigger | concept | minor | Trigger (part of backdoor) | The specific cue in the input that switches the backdoored behavior on.
