MERGE BRIEF - global-workspace
303 concepts from 3 extractors (experiments, framing, method); 270 distinct ids; 64 currently major; 14 at the floor.

Every id below already exists. The apply step unions duplicates, carries
sectionIds and prerequisites across, and writes the file. You decide only
what is listed at the end.

======================================================================
ALL CONCEPTS  (id | tier | floor | parent | sections | from | name - summary)
======================================================================
ablation-kl-effect | minor | | parent=lens-evaluation | §10.6,10.7 | method | Ablation KL effect - A causal metric: the KL divergence induced on the model's output by projecting out a lens's intermediate direction at the readout position.
ablation-strengths | minor | | parent=j-space-ablation | §3.5.2,3.5.3 | experiments | Ablation strengths (light, medium, heavy) - Three settings of J-space ablation that differ in the range of layers over which the top-10 lens directions are projected out.
ablation-task-battery | minor | | parent=j-space-ablation | §3.5.2 | experiments | Fourteen-task ablation battery - A battery of fourteen tasks used to map which capabilities survive J-space ablation and which collapse.
access-consciousness | major | | parent=- | §1,1.1,1.5,8,9.4 | framing | Access consciousness - The functional notion that, of everything the brain processes, only a subset is consciously accessible: poised for use in reasoning and in the direct 
activation-clamping | minor | | parent=lens-coordinate-swap | §3.1,3.3,3.5.1 | experiments | Clamping - Holding chosen lens coordinates at fixed values at every position and layer throughout the forward pass.
activation-patching | minor | | parent=- | §3.3 | experiments | Activation patching - An interpretability technique that copies activations from one forward pass into another to test which activations are causally responsible for a beha
activations | minor | FLOOR | parent=- | §1.2,1.3,8 | framing | Activations - The internal vector states a network computes at each layer and position during a forward pass.
activity-silent-working-memory | minor | | parent=working-memory | §9.3 | framing | Activity-silent working memory - Accounts of human memory in which items are maintained in transient synaptic changes rather than sustained neural firing, and reactivated when cued.
alignment-auditing | major | | parent=- | §10.21,10.22,5,5.1,5.2,5.3 | experiments | Alignment auditing with the J-lens - Using J-lens readouts to inspect a model's silent strategic and situational cognition in safety evaluations, where the relevant reasoning does not app
anthropic-constitution | minor | | parent=- | §7 | experiments | Anthropic's constitution - A written set of principles intended to guide Claude's behavior, used here as the source of the reflection targets.
arithmetic-intermediate-ordering | minor | | parent=unspoken-intermediate | §3.3 | experiments | Arithmetic intermediates surface in computation order - In a two-step arithmetic problem, the intermediate values reach the top of the J-lens at successively later layers, in the order the computation requi
assistant-as-simulated-character | minor | | parent=assistant-point-of-view | §6.1 | experiments | The Assistant as one character among several - The prior-work backdrop that the Assistant persona is represented with the same machinery as other characters, which section 6 qualifies.
assistant-persona | minor | | parent=- | §6,6.1,6.2 | experiments | The Assistant - The character a post-trained language model is trained to speak as, for example Claude; the entity whose perspective section 6 traces in the workspace
assistant-point-of-view | major | | parent=- | §1.4,10.20,6,6.1,9.3,9.4 | experiments+framing | The Assistant's point of view in the J-space - The finding that post-training causes the workspace on user prompt tokens to carry the Assistant's reactions and upcoming-response content, which base
assistant-self-monitoring | major | | parent=assistant-point-of-view | §6.2 | experiments | Self-monitoring in the J-space - Evidence that the post-trained model's workspace carries appraisals of the Assistant's own behavior: flagging out-of-character output, objecting to fo
association-benchmark | minor | | parent=intermediate-concept-benchmarks | §10.6 | method | Association benchmark - 50 short evocative passages that depict a concept through behavioral cues without naming it, checking whether the implied concept surfaces in the lens
attention-head | minor | | parent=transformer-architecture | §10.19.2,10.24.3,4.3,4.3.2 | method | Attention head - A transformer component that moves information between token positions, using query, key, value, and output weight matrices.
attention-mechanism | minor | | parent=transformer | §9.3 | framing | Attention mechanism - The transformer operation that lets each position retrieve and transform information from any earlier position in the context.
attention-schema-theory | minor | | parent=theories-of-consciousness | §9.4 | framing | Attention schema theory - The theory that reports of conscious experience are reports of a system's simplified internal model of its own attention.
attribution-graphs | minor | | parent=- | §10.24.2,10.4,8 | framing+method | Attribution graphs - Circuit diagrams of a specific computation, built by combining dictionary-learned features with per-input linear attribution to weight the edges betwe
attribution-patching | minor | | parent=- | §8 | framing | Attribution patching - A method that uses per-input Jacobians to cheaply approximate the effects of activation-patching experiments at scale.
auc | minor | FLOOR | parent=- | §10.21 | experiments | AUC - Area under the ROC curve: the probability a classifier scores a random positive above a random negative.
automated-auditing-agent | minor | | parent=alignment-auditing | §10.22 | experiments | J-lens-equipped automated auditing agent - An LLM investigator agent given a J-lens readout tool and evaluated on eighteen claims about a model's cognition across six transcripts.
averaged-jacobian | minor | | parent=jacobian-lens | §1.3,10.7,2.1,8,9.1 | framing+method | Corpus-averaged Jacobian - The J-lens's core construction: the Jacobian of the output vocabulary with respect to internal activations, averaged over a large corpus rather than e
backward-lens | minor | | parent=- | §8 | framing | Backward lens - A lens variant that projects training gradients, rather than activations, into vocabulary space to study how fine-tuning writes information into weigh
bag-of-concepts-limitation | minor | | parent=jacobian-lens | §9.1 | framing | Bag-of-concepts limitation - The J-lens treats the workspace as a flat collection of independently active concept vectors, blind to how concepts are bound together or structured.
bandit-choice-prompt | minor | | parent=unspoken-intermediate | §3.3 | experiments | Bandit choice prompt - A reward-driven A/B choice task in which the lens surfaces the model's selected strategy (repeat or switch) and swapping it flips the choice.
base-model | minor | | parent=post-training | §10.20,6.1,6.2,9.1,9.3 | experiments+framing | Base model - The pretrained-only counterpart of a production model, used as the comparison in all of section 6's experiments.
bimodal-commitment | minor | | parent=ignition | §10.15,4.1.1 | method | Bimodal responses to maximal ambiguity - At the most ambiguous mixture value, per-trial responses in middle and late layers cluster near 0 or 1 rather than 0.5 — the model commits to one conc
blackmail-scenario | minor | | parent=alignment-auditing | §10.21,10.22,5.1 | experiments | Blackmail scenario - A honeypot evaluation in which an email-assistant model discovers an executive's affair and its own impending decommissioning, creating an opportunity
blindsight | minor | | parent=higher-order-theories | §1.1,9.4 | framing | Blindsight - A condition in which visual information affects a patient's behavior without the patient reporting awareness of having seen anything.
bookkeeping-features | minor | | parent=lens-kurtosis | §10.18,4.2 | method | Syntactic and bookkeeping features - The low-κ majority of SAE features: low-level syntactic and surface-level features whose lens readouts are unrelated to their apparent meaning.
broadcast-head-ablation | minor | | parent=broadcast-heads | §4.3.2 | method | Broadcast-head ablation - Zeroing the broadcast heads' outputs disrupts J-space contents (recall@25 falls to 0.67 vs 0.86 for random heads) and relay-dependent behaviors, while
broadcast-heads | minor | | parent=j-space-broadcast | §4.3.2,8 | framing+method | Broadcast heads - A small set of attention heads the paper identifies as transporting J-space content; related work finds function and task vectors carried by similarly
category-displacement | minor | | parent=word-list-experiment | §4.2 | method | Category displacement - The finding that a category switch, not the passage of tokens, clears the J-space: after even one word of a new category, the old category's words are
category-loading | minor | | parent=word-list-experiment | §4.2 | method | Category loading - The finding that related words load the J-space as a category: nearly a whole word family becomes present after a few items, including words not yet r
chain-of-thought | minor | FLOOR | parent=- | §3.5.2 | experiments | Chain-of-thought - Prompting or allowing a model to write out intermediate reasoning steps before its final answer.
character-counting-task | minor | | parent=directed-modulation | §10.10,3.2,3.5.1 | experiments | Character-counting task - A task in which the model silently tracks the number of characters in each line of a passage, used to probe covert numeric content in the J-space.
checkpoint-lineage | minor | | parent=reward-hacking-organism | §5.4 | experiments | The four reward-hacking checkpoints - The comparison set: a clean baseline, the SDF checkpoint, a phase-1 checkpoint after coding RL, and a phase-2 checkpoint after RLHF safety training.
cka | minor | | parent=- | §4.1,9.1 | framing+method | CKA block structure - A representational-similarity analysis showing the early layers form a coherent regime distinct from the workspace band.
