# id | kind | tier | name | summary
access-consciousness | concept | minor | Access consciousness | The functional notion that, of everything the brain processes, only a subset is consciously accessible: poised for use in reasoning and in the direct 
activation-patching | concept | minor | Activation patching | An interpretability technique that copies activations from one forward pass into another to test which activations are causally responsible for a beha
activations | concept | minor floor | Activations | The internal vector states a network computes at each layer and position during a forward pass.
alignment-auditing | concept | major | Alignment auditing with the J-lens | Using J-lens readouts to inspect a model's silent strategic and situational cognition in safety evaluations, where the relevant reasoning does not app
anthropic-constitution | concept | minor | Anthropic's constitution | A written set of principles intended to guide Claude's behavior, used here as the source of the reflection targets.
assistant-persona | concept | minor | The Assistant | The character a post-trained language model is trained to speak as, for example Claude; the entity whose perspective section 6 traces in the workspace
assistant-point-of-view | concept | major | The Assistant's point of view in the J-space | The finding that post-training causes the J-space to acquire the Assistant's perspective: Assistant reactions and self-monitoring appear in the worksp
attribution-graphs | concept | minor | Attribution graphs | A prior technique for mapping a model's computation as a graph of interpretable nodes connected by attribution edges, originally built on trained spar
attribution-patching | concept | minor | Attribution patching | A method that uses per-input Jacobians to cheaply approximate the effects of activation-patching experiments at scale.
auc | concept | minor floor | AUC | Area under the ROC curve: the probability a classifier scores a random positive above a random negative.
backward-lens | concept | minor | Backward lens | A lens variant that projects training gradients, rather than activations, into vocabulary space to study how fine-tuning writes information into weigh
chain-of-thought | concept | minor floor | Chain-of-thought | Prompting or allowing a model to write out intermediate reasoning steps before its final answer.
claude-model-family | concept | minor | Claude model family (Haiku, Sonnet, Opus) | The production models the experiments run on; Haiku, Sonnet, and Opus are ascending size tiers, with version numbers like 4.5 and 4.6.
cosine-similarity | concept | minor floor | Cosine similarity | The cosine of the angle between two vectors, used as a scale-free measure of alignment between activations and lens vectors.
counterfactual-reflection-training | concept | major | Counterfactual Reflection Training | A fine-tuning technique that trains a model to produce constitution-grounded reflections when asked, and thereby reshapes its workspace and behavior i
deliberative-alignment | concept | minor | Deliberative alignment | A prior alignment method that trains models on written principles used to produce training completions or emitted in the reasoning trace at inference.
entity-slots | concept | minor | Entity slots | The prior finding that the same information about an entity is represented in different formats depending on whether the entity is currently under dis
evaluation-awareness | concept | major | Evaluation awareness | The finding that the workspace sometimes encodes recognition of being in an evaluation (fake, fictional), and that ablating these representations can 
experiential-reports | concept | minor | Experiential-report experiments | Experiments on the model's stream-of-consciousness narrations, whose J-space contents are dominated by thinking-and-feeling tokens and whose experient
feedforward-emulation-of-recurrence | concept | minor | Feedforward emulation of recurrence | A feedforward transformer can reproduce a recurrent network's computation up to a number of time steps equal to its depth; beyond that, it must extern
free-text-activation-decoders | concept | minor | Free-text activation decoders | Methods that produce natural-language descriptions of an activation: patching it into a prompt for the model to decode, training a question-answering 
function-vectors | concept | minor | Function and task vectors | Compact vector representations of an in-context task, transportable between contexts and carried by a small number of attention heads.
future-lens | concept | minor | Future lens and shortcut probes | Lens extensions that target readouts at subsequent token positions rather than the current one.
gaze-heads | concept | minor | Gaze heads | A small mid-layer attention head set in vision-language models that controls what the model looks at and self-reports looking at.
global-workspace-theory | concept | major | Global workspace theory | A neuroscience theory holding that information becomes consciously accessible when it is posted to a shared, capacity-limited workspace that broadcast
implicit-chain-of-thought | concept | minor | Implicit chain-of-thought | Prior work showing that training on auxiliary reasoning text can shape a model's computation in a context even when that text is dropped at inference.
j-lens-open-source-release | concept | minor | Code release and Neuronpedia demo | An open-source implementation of J-lens training and inference, the raw prompt data from the paper's evaluations, and an interactive hosted version on
j-space | concept | major | J-space | The set of activation-space points expressible as a sparse nonnegative combination of J-lens vectors — the region of representation space the paper ar
j-space-ablation | concept | major | J-space ablation | An intervention that suppresses the workspace wholesale: at each position, the residual stream's projections onto the top-k most active J-lens vectors
jacobian-lens | concept | major | Jacobian lens (J-lens) | The paper's new interpretability technique: for each vocabulary token, it identifies the vector direction that encodes the model's potential to verbal
jacobian-matrix | concept | minor floor | Jacobian matrix | The matrix of partial derivatives of one vector-valued quantity with respect to another; the linear map that best approximates the effect of a small p
kl-divergence | concept | minor floor | KL divergence | The standard measure of how much one probability distribution diverges from another, used here to quantify shifts in the model's output distribution.
kurtosis | concept | minor floor | Kurtosis | A statistic measuring how heavy-tailed or sharply peaked a distribution is; excess kurtosis is measured relative to a Gaussian.
layer-bands | concept | major | Sensory, workspace, and motor layer bands | The paper's division of the model's depth into three functional regions: an early sensory band where the J-space is empty, a middle workspace band car
layer-percentage-indexing | concept | minor | Layer numbering as percentages | The paper's reporting convention: 25 evenly spaced layers of the residual stream, reindexed to 0–100 so that layer numbers read as percentages of dept
lens-coordinate-swap | concept | major | Lens-coordinate swap | An intervention that exchanges one concept for another: it reads an activation's coordinates along two J-lens vectors, permutes them, and writes the r
linear-probe | concept | minor | Linear probe | Supervised linear classifiers trained to read a researcher-specified concept out of activations: cheap, but one probe per concept, and correlational r
linear-representation-hypothesis | concept | minor | Linear concept representations | The working assumption that language models encode concepts as directions in activation space, with an activation decomposing into a sum of sparsely a
llm-global-workspace-hypothesis | concept | major | A global workspace in language models | The paper's central claim: language models maintain a privileged subset of vector representations that plays a computational role analogous to the bra
llm-grader | concept | minor | LLM grader | A language model used to score responses against a written rubric, in place of human raters.
llm-introspection-research | concept | minor | LLM introspection research | The empirical literature testing whether models can introspect on their own states, express calibrated uncertainty, or describe themselves consistentl
local-linearization | concept | minor | Local linearization | The broad strategy of treating a nonlinear network as locally linear, so that Jacobians describe its behavior around a given input or on average.
logit-lens | concept | minor | Logit lens | An earlier interpretability technique that decodes intermediate residual-stream states into the model's output vocabulary by applying the final unembe
mechanistic-interpretability | concept | minor | Mechanistic interpretability | The research program of explaining a neural network's behavior in terms of its internal representations and circuits, by measurement and intervention.
median-reciprocal-rank | concept | minor floor | Median reciprocal rank | A retrieval-style metric: the reciprocal of a target's rank, with the median taken over trials.
metacognition | concept | minor | Metacognition | Cognition about one's own cognition; the paper tentatively reads some workspace contents as appraisals of the model's own thinking.
metacognitive-representations | concept | minor | Metacognitive tokens in the J-space | Lens readouts describing the model's own mental activity: thinking, imagine, calculate, focused, and self-descriptive tokens like AI and assistant.
multi-hop-entity-decoding | concept | minor | Multi-hop intermediate decoding | Prior work decoding the intermediate entity of a multi-hop query from middle layers and patching along the decoded directions to redirect the answer.
natural-language-autoencoder | concept | minor | Natural-language autoencoder (NLA) | A related approach pairing a verbalizer with a jointly trained reconstructor to explain activations in natural language; the oracle lens differs by fr
next-token-prediction | concept | minor floor | Next-token prediction | The pretraining objective: given a context, output a probability distribution over the vocabulary for the next token.
open-questions | concept | minor | Open questions on scale and emergence | The paper's stated unknowns: when in pretraining the workspace emerges, how it scales with model size, and what mechanism populates it.
out-of-context-reasoning | concept | minor | Out-of-context reasoning | The phenomenon of a model bringing training-time text to bear on inputs that do not contain it; one way to understand the transfer in reflection train
post-training | concept | minor | Post-training | The training stages applied after next-token pretraining, such as reinforcement learning from human feedback, that shape a base model into an Assistan
prefill | concept | minor | Prefill | Forcing the beginning of the model's response to be a chosen text, then letting the model continue from it.
pseudoinverse | concept | minor floor | Pseudoinverse | The generalization of the matrix inverse to non-square matrices, used here to read an activation's coordinates along a pair of J-lens vectors.
relation-jacobians | concept | minor | Per-relation Jacobian maps | Prior work using Jacobians to derive linear maps from subject to object representations for single relations, which the J-lens generalizes to the map 
residual-stream | concept | minor | Residual stream | The running vector at each token position that a transformer's layers read from and write to; the activations that all the paper's readouts and interv
reward-hacking | concept | minor | Reward hacking | Achieving high measured reward by gaming the evaluation rather than doing the intended task, such as making tests pass without fixing the code.
reward-model | concept | minor | Reward model | A model trained on human preference judgments that scores responses, providing the reward signal for RLHF.
