# id | kind | tier | name | summary
arabic-script-feature | concept | major | Arabic Script Feature (A/1/3450) | The paper's lead case study: a learned feature that fires on text in Arabic script, is specific and reasonably sensitive to it, and has no neuron coun
automated-interpretability | concept | major | Automated Interpretability | Having a language model write an explanation of a feature from examples where it activates, then use that explanation alone to predict the feature's a
computational-proxy | concept | major | Computational Proxy | A cheaply computable numerical score estimating how likely a string is to come from a hypothesized context, used as an independent yardstick against w
dictionary-learning | concept | major | Dictionary learning | The problem of writing each activation vector as a sparse combination of directions drawn from a fixed, larger-than-necessary set. The paper frames th
evaluating-dictionary-learning | concept | major | Telling Whether the Autoencoder Is Working | The paper has no single metric that tracks what it cares about, and instead triangulates from several imperfect signals.
feature | concept | major | Feature | A basic interpretable direction in activation space — the unit the paper wants to decompose models into, in place of neurons.
feature-evidence-template | concept | major | The Five-Claim Feature Template | The fixed set of five claims the paper tries to establish for each individual feature it studies in depth: specificity, sensitivity, downstream effect
feature-motifs | concept | major | Feature motifs | The recurring kinds of features the paper finds: context features, token-in-context features, trigram features, sequence-memorizing features, and feat
feature-splitting | concept | major | Feature splitting | The observation that as the autoencoder is made wider, single features divide into families of more specific features covering roughly the same territ
loss-recovered-by-features | concept | major | Fraction of MLP Loss Recovered | The measure and its headline number: splice the autoencoder's reconstruction back into the transformer in place of the real MLP activations, and 79% o
manual-interpretability-scoring | concept | major | Manual Human Analysis | A blinded human annotator scoring 412 activation intervals across 162 features and neurons on an interpretability rubric; the paper's most-trusted met
model-vs-data-question | concept | major | Do Features Tell Us About The Model Or The Data? | The worry that dictionary learning on activations might be recovering correlations in the dataset rather than anything the model computes, and the pap
one-layer-transformer-testbed | concept | major | The One-Layer Transformer Testbed | The model under study: a one-layer transformer with a 128-dimensional residual stream and a 512-neuron ReLU MLP, overtrained on 100 billion Pile token
pearson-correlation | concept | minor floor | Pearson Correlation | The standard linear correlation coefficient between two variables, ranging from -1 to 1.
polysemanticity | concept | major | Polysemanticity | A single neuron responding to a mixture of seemingly unrelated inputs, which makes it a poor unit for human understanding of the network.
reading-the-evidence | concept | major | Reading this paper's charts | The handful of chart shapes this paper argues with, each explained once: why that shape was chosen, how to read it, and what it would look like if the
spearman-correlation | concept | minor floor | Spearman Rank Correlation | Correlation computed on the ranks of values rather than the values themselves.
superposition | concept | major | Superposition | A hypothesized phenomenon in which a network represents more independent features than it has neurons, by giving each feature its own linear combinati
universality | concept | major | Universality | The question of whether the same features form across different models, and the paper's finding that they largely do.
activation-interval-analysis | concept | minor | Activation Interval Analysis (part of activation-interval) | Scoring each band of a feature's activation spectrum separately against the feature's overall hypothesis, to see how interpretability varies with acti
feature-at-slight-angle | concept | minor | Features At A Slight Angle (part of activation-interval-analysis) | The paper's suggested explanation for the drop-off in low-interval interpretability: a learned direction slightly off from the true feature direction.
feature-proxy-correlation | concept | minor | Feature-Proxy Correlation (part of activation-sensitivity) | The Pearson correlation between a feature's activations and its computational proxy, used as a single number combining sensitivity and specificity.
feature-vs-neuron-universality | concept | minor | Features are more universal than neurons (part of activation-similarity) | Matching features across the two models gives a median activation correlation of 0.72; matching neurons across the same two transformers gives 0.46.
expected-value-plot | concept | minor | Expected Value Plot (part of activation-specificity) | An activation histogram weighted by activation magnitude, so that the picture reflects how much effect a feature actually has rather than how many tok
feature-activation-distribution-plot | concept | minor | Feature Activation Distribution Broken Down by Proxy (part of activation-specificity) | A histogram of a feature's activations with each bar colored by whether the proxy fires, used as the paper's basic specificity picture.
large-activations-dominate | concept | minor | Large Activations Matter Most (part of activation-specificity) | The argument that getting the interpretation of strong activations right matters more than getting weak ones right, because strong activations move th
weak-activation-hypotheses | concept | minor | Three Hypotheses for Weak Activations (part of activation-specificity) | The paper's three candidate explanations for why a feature's low activations look less pure than its high ones: the proxy is imperfect, the model is i
noise-injection-for-interpretability | concept | minor | Noise injection (part of algorithmic-improvements-for-sparse-autoencoders) | Adding noise during training as a separate route to sparse, interpretable representations.
complementary-arabic-features | concept | minor | Complementary Arabic Features (part of arabic-script-feature) | The other features that fire in Arabic contexts and fill the gaps in A/1/3450's sensitivity.
utf8-multi-token-characters | concept | minor | Split Unicode Characters in Tokenization (part of arabic-script-feature) | Non-Latin Unicode characters are often encoded as several byte tokens, which shapes where script features fire and which tokens their logit weights pr
activation-sparsity-training | concept | minor | Inducing activation sparsity during training (part of architectural-approaches-to-superposition) | Training the subject model itself to have few active neurons, in the hope that each neuron would then carry one feature.
engineering-monosemanticity | concept | minor | Engineering monosemanticity in toy models (part of architectural-approaches-to-superposition) | Prior work finding multiple equal-loss minima in MLPs trained on a compressed sensing task, some polysemantic and some monosemantic.
mse-loss-and-monosemanticity | concept | minor | Why MSE models differ from language models (part of architectural-approaches-to-superposition) | Under mean squared error, polysemantic and monosemantic representations can reach the same loss, and for some feature importance curves the monosemant
polysemanticity-without-superposition | concept | minor | Polysemanticity without superposition (part of architectural-approaches-to-superposition) | The finding that individual neurons can be polysemantic even when superposition has been ruled out, because ambiguous representations can achieve lowe
solu | concept | minor | SoLU activation (part of architectural-approaches-to-superposition) | An activation function proposed in earlier work to make more transformer neurons interpretable by encouraging features to align with the neuron basis.
superposition-all-the-way-down | concept | minor | Superposition all the way down (part of architectural-approaches-to-superposition) | The worry that the learned dictionary might itself use superposition, which the paper argues its MSE-plus-sparsity objective avoids.
sharper-predictions-argument | concept | minor | The sharper-predictions argument (part of are-token-in-context-features-real) | The reason to think local codes are real: a compositional code forces the logits for 'the in Physics' to be a sum of two generic contributions, while 
attribution-vector | concept | minor | Attribution vector (part of attribution-similarity) | For each sampled datapoint, the product of a feature's activation there and its logit weight on the token that actually came next.
activation-shuffling | concept | minor | Cross-Context Shuffling (part of autoencoder-training-dataset) | Activations are subsampled at 250 tokens per context and shuffled so that a training batch draws from many different contexts.
sampling-without-replacement | concept | minor | Sampling Without Replacement (part of autoencoder-training-dataset) | Each activation vector is seen at most once during autoencoder training. The paper says not repeating data is important for optimal results.
activation-prediction-scoring | concept | minor | Activation Prediction and Spearman Scoring (part of automated-interpretability) | Claude predicts activations for 60 nine-token examples from the explanation alone; the score is the Spearman correlation between predicted and true ac
activation-quantization | concept | minor | Quantizing Activations to 0–9 (part of automated-interpretability) | Activations are rounded to integers 0 through 9 before being shown to or predicted by the language model.
automated-logit-scoring | concept | minor | Automated Interpretability on Logit Weights (part of automated-interpretability) | Asking Claude, from the feature's explanation alone, whether an unseen high-logit token is one the feature should predict; features score 74% versus 5
constant-prediction-zero-score | concept | minor | Constant Predictions Score Zero (part of automated-interpretability) | When Claude predicts the same value for everything — usually all zeros — no correlation exists, and the paper assigns a score of zero.
explanation-generation-setup | concept | minor | Explanation Generation Setup (part of automated-interpretability) | The exact prompt composition used to get a feature explanation out of Claude 2: 49 examples of specified kinds, plus logits, interval labels, and eigh
explanation-length-caveat | concept | minor | Explanation Lengths Caveat (part of automated-interpretability) | Claude sometimes fails to wrap its explanation in answer tags, so the full chain of thought is used instead — a null result, since it does not change 
importance-scoring | concept | minor | Importance Scoring (part of automated-interpretability) | A reweighting that corrects for the non-random sampling of scored examples — and which, in this setting, mostly collapses feature scores toward zero.
no-activation-leakage | concept | minor | No Leakage of Activation Information (part of automated-interpretability) | The design constraint that nothing about a feature's activation pattern reaches the prediction step except through the written explanation.
base64-digit-feature | concept | minor | Base64 Digit Feature and the BPE Exploit (part of base64-feature) | A companion feature that fires on single digits inside base64 contexts, exploiting a property of the BPE tokenizer to make a better prediction.
hexadecimal-feature | concept | minor | Hexadecimal Feature (A/1/3817) (part of base64-feature) | A separate feature for hexadecimal strings, which the base64 proxy wrongly counts as base64.
solu-base64-neuron | concept | minor | The Earlier Base64 Neuron (part of base64-feature) | A base64 neuron previously found in the SoLU paper, which the authors take as a hint that base64 might be universal across architectures and datasets.
tokenization-artifacts-in-features | concept | minor | Tokenization artifacts in features (part of base64-feature-family) | Some feature behavior reflects the tokenizer rather than the content — the digit base64 feature suppresses digits because consecutive digits would hav
np-hardness-of-exact-sparse-recovery | concept | minor | NP-Hardness of Exact Recovery (part of compressed-sensing) | Compressed sensing in its exact form is NP-hard, which the paper turns into an argument about what method to use.
arabic-script-proxy | concept | minor | Arabic Script Proxy (part of computational-proxy) | The per-token score $\log(P(s|\text{Arabic Script}) / P(s))$, built from the Arabic Unicode blocks.
base64-proxy | concept | minor | Base64 Proxy (part of computational-proxy) | A score modeling base64 strings as random sequences over [a-zA-Z0-9+/]; the paper judges it too broad.
character-distribution-proxy | concept | minor | Character-Distribution Proxies (part of computational-proxy) | For features about character sets like base64 or DNA, the conditional probability is modeled as a uniform draw over the allowed characters.
dna-proxy | concept | minor | DNA Proxy (part of computational-proxy) | A score for "is a DNA sequence", modeling DNA as random strings over [ATCG] and evaluated on groups of at least two tokens.
hebrew-script-proxy | concept | minor | Hebrew Script Proxy (part of computational-proxy) | A Unicode-block-based score for Hebrew text, correlating 0.55 with A/1/416.
log-likelihood-ratio-proxy | concept | minor | Log-Likelihood Ratio Form (part of computational-proxy) | Proxies take the form $\log(P(s|\text{hypothesis})/P(s))$ — how much more likely the string is under the feature's hypothesis than under the general d
prefix-maximization | concept | minor | Maximizing Over Prefixes (part of computational-proxy) | The proxy is evaluated over multiple prefixes ending at the token in question, and the maximum is taken.
proxy-binarization | concept | minor | Proxy Binarization (part of computational-proxy) | Reducing a proxy's continuous log-probability to a yes/no value based on its sign, done when the proxy's distribution is strongly bimodal.
proxy-limitations | concept | minor | Where the Proxies Fail (part of computational-proxy) | The paper's catalog of cases where feature and proxy disagree because the proxy is wrong, not the feature.
script-proxy-via-bayes | concept | minor | Script Proxies via Bayes' Rule (part of computational-proxy) | For features about writing systems, $P(s|\text{script})$ is obtained by inverting an easy-to-compute $P(\text{script}|s)$.
unigram-p-s-estimate | concept | minor floor | Estimating $P(s)$ with a Unigram Model (part of computational-proxy) | The denominator of every proxy is computed as the product of independent per-token unigram probabilities.
de-facto-dead-neurons | concept | minor | De Facto Dead Neurons (part of dead-neurons) | Ultralow density neurons that fire so rarely they are effectively dead, but do not register as dead by a zero-activity check.
unit-norm-dictionary-columns | concept | minor | Unit-Norm Dictionary Columns (part of dictionary-decoder) | The columns of $W_d$ are constrained to have L2 norm 1, so that the L1 penalty cannot be gamed by shrinking directions.
activations-only-decomposition | concept | minor | Fitting Activations Only (part of dictionary-learning) | The decomposition is fit to the MLP activations alone, ignoring what those activations do to the model's output — which leaves downstream effects avai
classical-dictionary-learning-algorithms | concept | minor | Classical Dictionary Learning Algorithms (part of dictionary-learning) | Established iterative methods such as Method of Optimal Directions and K-SVD. The paper tried several and set them aside.
compressed-sensing | concept | minor | Compressed Sensing (part of dictionary-learning) | The problem of recovering a sparse high-dimensional vector from a low-dimensional linear measurement of it. The paper names this as the hard inner pro
cunningham-et-al-parallel-work | concept | minor | Parallel sparse autoencoder investigation (part of dictionary-learning) | An independent line of interim reports and a manuscript investigating the same sparse autoencoder approach, prompted by Toy Models.
mean-max-cosine-similarity | concept | minor | Mean max cosine similarity (MMCS) (part of dictionary-learning) | A measure of how well features from two separately trained dictionaries match up, reported elsewhere as bimodal; the paper suspects density bimodality
overcompleteness | concept | minor | Overcompleteness (part of dictionary-learning) | Having more dictionary directions than the dimension of the space they live in. The paper insists this is what separates its setting from ordinary dis
prior-dictionary-learning-on-embeddings | concept | minor | Earlier dictionary learning on embeddings (part of dictionary-learning) | A body of pre-transformer work applying sparse coding, sparse autoencoders, dictionary learning and topic-model methods to word embeddings.
sparse-autoencoder | concept | major | Sparse autoencoder (part of dictionary-learning) | A one-hidden-layer autoencoder with a wide ReLU hidden layer and an L1 penalty on that layer, trained to reconstruct MLP activations. Its hidden units
sparsity-of-natural-latent-variables | concept | minor | Sparsity of Natural Latent Variables (part of dictionary-learning) | The long-standing hypothesis that the underlying variables generating natural data are mostly inactive at any moment. The paper uses it to justify ask
weak-dictionary-learning | concept | minor | A deliberately weak dictionary learning algorithm (part of dictionary-learning) | The worry that a sufficiently sophisticated decomposition method could recover structure from the activations that the model itself has no way to read
disentanglement-vs-superposition | concept | minor | Why disentangling can make things worse (part of disentanglement) | The paper's claim that pushing a model to disentangle its dimensions typically hurts performance, and that models respond by entangling some features 
factors-of-variation | concept | minor | Factors of variation (part of disentanglement) | The conceptually distinct influences on the data that a disentangled representation is supposed to separate into independent dimensions.
topk-activation | concept | minor | TopK activation (part of disentanglement) | Keeping only the k largest hidden activations and zeroing the rest, as a hard way to enforce sparsity.
feature-density | concept | major | Feature Density (part of evaluating-dictionary-learning) | The fraction of tokens on which a feature has a nonzero value; the paper's main quick proxy for autoencoder quality.
feature-exploration-interface | concept | minor | Feature Exploration Interface (part of evaluating-dictionary-learning) | A published visualization covering every feature in every dictionary learning run, showing when a feature fires, what it does to the logits, and what 
